"New User","Nuwe gebruiker"
"Email is Null, Please enter email in your %1 profile","E-pos is Null, Vul asseblief e-pos in u %1 -profiel"
"Incorrect CAPTCHA.","Verkeerde CAPTCHA."
"Data error. Please try again.","Data fout. Probeer asseblief weer."
"Please make sure your passwords match.","Maak asseblief seker dat u wagwoorde ooreenstem."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","U moet u rekening bevestig. Gaan asseblief jou e-pos na die bevestigings skakel of <a href=""%1"">hier kliek</a> vir 'n nuwe skakel."
"Create an account successfully. Please wait...","Skep 'n rekening suksesvol. Wag asseblief..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Daar is reeds 'n rekening met hierdie e-pos adres. As jy seker is dat dit jou e-posadres is, <a href=""%1"">klik hier</a> om jou wagwoord te kry en toegang tot jou rekening."
"We can't save the customer.","Ons kan die kliënt nie red nie."
"Please correct the email address.","Korrigeer asseblief die e-posadres."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","As daar 'n rekening is wat verband hou met %1 , sal u 'n e-pos ontvang met 'n skakel om u wagwoord terug te stel."
"We're unable to send the password reset email.","Ons kan nie die wagwoordterugstelling-e-pos stuur nie."
"Ooophs, we got an error: %1","Oops, ons het 'n fout: %1"
"Default","verstek"
"Orange","Orange"
"Green","groen"
"Black","Swart"
"Blue","Blou"
"Dark Blue","Donkerblou"
"Pink","Pink"
"Red","rooi"
"Violet","violet"
"Custom","Custom"
"Zoom","Klik op"
"Newspaper","Koerant"
"Horizontal move","Horisontale skuif"
"Move from top","Beweeg van bo af"
"3D unfold","3D ontvou"
"Zoom-out","Klik-out"
"-- Please Select --","-- Kies asseblief --"
"Customer Login Page","Customer Login Page"
"Customer Create Page","Kliënt Skep Bladsy"
"Social Popup Login","Social Popup Login"
"Login By %1","Inteken deur %1"
"Sign in with %1","Teken in met %1"
"Sign In","Teken in"
"Registered Customers","Geregistreerde kliënte"
"* Required Fields","* Vereiste velde"
"Email","e-pos"
"Password","wagwoord"
"Login","Teken aan"
"Forgot Your Password?","Het jy jou wagwoord vergeet?"
"Create New Account?","Skep nuwe rekening?"
"Or Sign In With","Of teken in met"
"Create New Account","Skep nuwe rekening"
"Sign Up for Newsletter","Teken in vir Nuusbrief"
"Address Information","Adres inligting"
"Company","maatskappy"
"Phone Number","Telefoon nommer"
"Street Address","Straatadres"
"Address","adres"
"Street Address %1","Straatadres %1"
"City","Stad"
"State/Province","Staat / Provinsie"
"Please select a region, state or province.","Kies asseblief 'n streek, staat of provinsie."
"Zip/Postal Code","Zip / Poskode"
"Country","land"
"Confirm Password","Bevestig Wagwoord"
"Create an Account","Maak 'n rekening oop"
"Back","terug"
"Forgot Password","Wagwoord vergeet"
"Please enter your email address below to receive a password reset link.","Voer asseblief u e-posadres hieronder in om 'n skakel vir wagwoordterugstelling te ontvang."
"Submit","Indien"
"Go back","Gaan terug"
"Social Login","Sosiale aanmelding"
"General","algemene"
"Enable","in staat te stel"
"Send Password To Customer","Stuur wagwoord na kliënt"
"Show Social Login Buttons on","Wys sosiale aanmeldknoppies op"
"Use Popup Login","Gebruik Popup-aanmelding"
"Popup Effect","Pop-up-effek"
"Style Management","Stylbestuur"
"Custom Color","Aangepaste Kleur"
"Custom CSS","Aangepaste CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Skep app <a href=""https://developers.facebook.com/apps"" target=""_bank"">hier</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Geldige OAuth-herlei-URI's"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Skep app <a href=""https://code.google.com/apis/console/"" target=""_bank"">hier</a>"
"Client ID","Kliënt-ID"
"Client Secret","Kliëntgeheim"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Skep app <a href=""https://dev.twitter.com/apps"" target=""_bank"">hier</a>"
"Consumer Key","Verbruikersleutel"
"Consumer Secret","Verbruikersgeheim"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Skep app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">hier</a>"
"Id Client","Id Kliënt"
"Secret Client","Geheime Kliënt"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Skep app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">hier</a>"
"Foursquare","vierkantig"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Skep app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">hier</a>"
"Callback Url","Terugbel Url"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Skep app <a href=""https://new.vk.com/dev"" target=""_bank"">hier</a>"
"Application ID","Aansoek ID"
"Secure Key","Veilige sleutel"
"Github","GitHub"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Skep app <a href=""https://github.com/settings/applications/new"" target=""_bank"">hier</a>"
