"New User","новы карыстальнік"
"Email is Null, Please enter email in your %1 profile","Электронная пошта Null, калі ласка, увядзіце адрас электроннай пошты ў вашым профілі %1"
"Incorrect CAPTCHA.","Некарэктнае CAPTCHA."
"Data error. Please try again.","Памылка дадзеных. Калі ласка, паспрабуйце яшчэ раз."
"Please make sure your passwords match.","Калі ласка, пераканайцеся, што вашыя паролі супадаюць."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Create an account successfully. Please wait...","Стварыць уліковы запіс паспяхова. Калі ласка пачакай..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Існуе ўжо уліковы запіс з такім адрасам электроннай пошты. Калі вы ўпэўненыя, што гэта ваш адрас электроннай пошты, <a href=""%1"">націсніце тут</a> , каб атрымаць пароль і атрымаць доступ да вашай ўліковага запісу."
"We can't save the customer.","Мы не можам выратаваць кліента."
"Please correct the email address.","Выпраўце адрас электроннай пошты."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Калі ёсць рахунак, звязаны з %1 вы атрымаеце ліст са спасылкай для скіду пароля."
"We're unable to send the password reset email.","Мы не можам адправіць па электроннай пошце для скіду пароля."
"Ooophs, we got an error: %1","Ooophs, мы атрымалі памылку: %1"
"Default","дэфолт"
"Orange","аранжавы"
"Green","зялёны"
"Black","чорны"
"Blue","сіні"
"Dark Blue","Цёмна-сіні"
"Pink","ружовы"
"Red","чырвоны"
"Violet","фіялетавы"
"Custom","выраблены на замову"
"Zoom","павялічыць"
"Newspaper","газета"
"Horizontal move","гарызантальнае перасоўванне"
"Move from top","перамясціць зверху"
"3D unfold","3D разгортвацца"
"Zoom-out","Змяншэння"
"-- Please Select --","- Выберыце -"
"Customer Login Page","Лагін кліента Старонка"
"Customer Create Page","Заказчык Стварыць старонку"
"Social Popup Login","Сацыяльны Popup Увайсці"
"Login By %1","Уваход Па %1"
"Sign in with %1","Увайсці з %1"
"Sign In","Увайсці"
"Registered Customers","зарэгістраваныя кліенты"
"* Required Fields","* Абавязковыя для запаўнення палі"
"Email","E-mail"
"Password","пароль"
"Login","Увайсці"
"Forgot Your Password?","Забыліся свой пароль?"
"Create New Account?","Стварыць новы ўліковы запіс?"
"Or Sign In With","Або ўвайсці з"
"Create New Account","Стварыць новы ўліковы запіс"
"Sign Up for Newsletter","Падпішыцеся на рассылку"
"Address Information","адрас інфармацыя"
"Company","кампаніі"
"Phone Number","Нумар тэлефона"
"Street Address","вуліца,"
"Address","адрас"
"Street Address %1","вуліца %1"
"City","горад"
"State/Province","Штат / правінцыя"
"Please select a region, state or province.","Калі ласка, абярыце рэгіён, штат або правінцыю."
"Zip/Postal Code","Zip / Паштовы індэкс"
"Country","краіна"
"Confirm Password","Пацвердзіце пароль"
"Create an Account","Стварыць уліковы запіс"
"Back","назад"
"Forgot Password","Забыліся на пароль"
"Please enter your email address below to receive a password reset link.","Калі ласка, увядзіце Ваш адрас электроннай пошты ніжэй, каб атрымаць спасылку для скіду пароля."
"Submit","прадставіць"
"Go back","Вяртацца"
"Social Login","сацыяльны Увайсці"
"General","агульны"
"Enable","ўключыць"
"Send Password To Customer","Адправіць Пароль да кліента"
"Show Social Login Buttons on","Паказаць Сацыяльны Уваход кнопку на"
"Use Popup Login","Выкарыстанне усплываючых вокнаў Увайсці"
"Popup Effect","ўсплывальнае Effect"
"Style Management","стыль кіравання"
"Custom Color","карыстацкі колер"
"Custom CSS","прыстасаваныя CSS"
"Facebook","facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://developers.facebook.com/apps"" target=""_bank"">тут</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Дапушчальнае OAuth пераадрасаваць ідэнтыфікатары URI"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://code.google.com/apis/console/"" target=""_bank"">тут</a>"
"Client ID","ідэнтыфікатар кліента"
"Client Secret","кліент Secret"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","шчэбет"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://dev.twitter.com/apps"" target=""_bank"">тут</a>"
"Consumer Key","ключ спажыўца"
"Consumer Secret","сакрэт спажыўца"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">тут</a>"
"Id Client","ідэнтыфікатар кліента"
"Secret Client","сакрэтны кліент"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">тут</a>"
"Foursquare","квадрат"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">тут</a>"
"Callback Url","Зваротны званок Url"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">тут</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://new.vk.com/dev"" target=""_bank"">тут</a>"
"Application ID","ідэнтыфікатар прыкладання"
"Secure Key","Secure Key"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://github.com/settings/applications/new"" target=""_bank"">тут</a>"
