"New User","Neuer Benutzer"
"Email is Null, Please enter email in your %1 profile","E-Mail-Adresse ist ungültig. Bitte geben Sie die E-Mail-Adresse in Ihr %1 -Profil ein"
"Incorrect CAPTCHA.","Falsches Captcha."
"Data error. Please try again.","Datenfehler. Bitte versuche es erneut."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sie müssen Ihr Konto bestätigen. Bitte überprüfen Sie Ihre E-Mail für den Bestätigungslink oder <a href=""%1"">klicken Sie hier</a> für einen neuen Link."
"Create an account successfully. Please wait...","Erstellen Sie ein Konto erfolgreich. Warten Sie mal..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Es gibt bereits ein Konto mit dieser E-Mail-Adresse. Wenn Sie sicher sind, dass es sich um Ihre E-Mail-Adresse handelt, <a href=""%1"">klicken Sie hier</a> um Ihr Passwort zu erhalten und auf Ihr Konto zuzugreifen."
"We can't save the customer.","Wir können den Kunden nicht retten."
"Please correct the email address.","Bitte korrigieren Sie die E-Mail-Adresse."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Wenn mit %1 ein Konto verknüpft ist, erhalten Sie eine E-Mail mit einem Link zum Zurücksetzen Ihres Passworts."
"We're unable to send the password reset email.","Wir können die E-Mail zum Zurücksetzen des Passworts nicht senden."
"Ooophs, we got an error: %1","Ooophs, wir haben einen Fehler bekommen: %1"
"Default","Standard"
"Orange","Orange"
"Green","Grün"
"Black","Schwarz"
"Blue","Blau"
"Dark Blue","Dunkelblau"
"Pink","Rosa"
"Red","rot"
"Violet","Violett"
"Custom","Brauch"
"Zoom","Zoomen"
"Newspaper","Zeitung"
"Horizontal move","Horizontale Bewegung"
"Move from top","Bewegung von oben"
"3D unfold","3D entfalten sich"
"Zoom-out","Rauszoomen"
"-- Please Select --","-- Bitte auswählen --"
"Customer Login Page","Kunden Login Seite"
"Customer Create Page","Kundenseite erstellen"
"Social Popup Login","Social-Popup-Anmeldung"
"Login By %1","Anmeldung bis %1"
"Sign in with %1","Melden Sie sich mit %1 an"
"Sign In","Anmelden"
"Registered Customers","Registrierte Kunden"
"* Required Fields","* Benötigte Felder"
"Email","Email"
"Password","Passwort"
"Login","Anmeldung"
"Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Create New Account?","Neuen Account erstellen?"
"Or Sign In With","Oder Anmelden mit"
"Create New Account","Neuen Account erstellen"
"Sign Up for Newsletter","Anmeldung für Newsletter"
"Address Information","Adresse"
"Company","Unternehmen"
"Phone Number","Telefonnummer"
"Street Address","Adresse"
"Address","Adresse"
"Street Address %1","Straßenadresse %1"
"City","Stadt"
"State/Province","Staat / Provinz"
"Please select a region, state or province.","Bitte wählen Sie eine Region, Bundesland oder Provinz."
"Zip/Postal Code","Postleitzahl"
"Country","Land"
"Confirm Password","Bestätige das Passwort"
"Create an Account","Ein Konto erstellen"
"Back","Zurück"
"Forgot Password","Passwort vergessen"
"Please enter your email address below to receive a password reset link.","Bitte geben Sie Ihre E-Mail-Adresse ein, um einen Link zum Zurücksetzen des Passworts zu erhalten."
"Submit","einreichen"
"Go back","Geh zurück"
"Social Login","Sozialanmeldung"
"General","Allgemeines"
"Enable","Aktivieren"
"Send Password To Customer","Senden Sie ein Passwort an den Kunden"
"Show Social Login Buttons on","Zeige soziale Login Buttons an"
"Use Popup Login","Verwenden Sie die Popup-Anmeldung"
"Popup Effect","Popup-Effekt"
"Style Management","Stilverwaltung"
"Custom Color","Freiwählbare Farbe"
"Custom CSS","Benutzerdefinierte CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://developers.facebook.com/apps"" target=""_bank"">hier</a>"
"Facebook App Id","Facebook App-ID"
"Facebook App Secret","Facebook App Geheimnis"
"Valid OAuth redirect URIs","Gültige OAuth-Umleitungs-URIs"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://code.google.com/apis/console/"" target=""_bank"">hier</a>"
"Client ID","Kunden ID"
"Client Secret","Kundengeheimnis"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://dev.twitter.com/apps"" target=""_bank"">hier</a>"
"Consumer Key","Verbraucherschlüssel"
"Consumer Secret","Verbrauchergeheimnis"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">hier</a>"
"Id Client","ID-Kunde"
"Secret Client","Geheimer Kunde"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">hier</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">hier</a>"
"Callback Url","Rückruf-URL"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">hier</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://new.vk.com/dev"" target=""_bank"">hier</a>"
"Application ID","Anwendungs-ID"
"Secure Key","Sicherer Schlüssel"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://github.com/settings/applications/new"" target=""_bank"">hier</a>"
