"New User","Pengguna Baru"
"Email is Null, Please enter email in your %1 profile","Email Null, Silahkan masukkan email anda %1 profil"
"Incorrect CAPTCHA.","Salah CAPTCHA."
"Data error. Please try again.","Kesalahan Data. Silakan coba lagi."
"Please make sure your passwords match.","Pastikan password anda sesuai."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda harus mengkonfirmasi akun anda. Silahkan periksa surel anda untuk tautan konfirmasi atau <a href=""%1"">klik di sini</a> untuk tautan baru."
"Create an account successfully. Please wait...","Membuat akun berhasil. Mohon tunggu..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Sudah ada akun dengan alamat surel ini. Jika anda yakin bahwa itu adalah alamat surel anda, <a href=""%1"">klik di sini</a> untuk mendapatkan kata sandi anda dan mengakses akun anda."
"We can't save the customer.","Kita tidak dapat menyimpan pelanggan."
"Please correct the email address.","Silakan memperbaiki alamat email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jika ada akun yang terkait dengan %1 anda akan menerima surel dengan tautan untuk mengatur ulang kata sandi anda."
"We're unable to send the password reset email.","Kami tidak dapat mengirim email pengaturan ulang kata sandi."
"Ooophs, we got an error: %1","Ooophs, kami mendapat sebuah kesalahan: %1"
"Default","Bawaan"
"Orange","Jeruk"
"Green","Hijau"
"Black","Hitam"
"Blue","Biru"
"Dark Blue","Biru Tua"
"Pink","Merah Muda"
"Red","Merah"
"Violet","Ungu"
"Custom","Kustom"
"Zoom","Perbesar"
"Newspaper","Surat kabar"
"Horizontal move","Pindah gerakan horizontal"
"Move from top","Pindah dari atas"
"3D unfold","3D terungkap"
"Zoom-out","Perbesar-perkecil"
"-- Please Select --","-- Silahkan pilih --"
"Customer Login Page","Halaman login pelanggan"
"Customer Create Page","Pelanggan Membuat Halaman"
"Social Popup Login","Masuk ke popup sosial"
"Login By %1","Masuk Dengan %1"
"Sign in with %1","Masuk dengan %1"
"Sign In","Masuk"
"Registered Customers","Pendaftran Pelanggan"
"* Required Fields","* Bidang yang harus diisi"
"Email","Email"
"Password","Kata Sandi"
"Login","Masuk"
"Forgot Your Password?","Lupa Kata Sandi?"
"Create New Account?","Buat Akun Baru?"
"Or Sign In With","Atau Masuk Dengan"
"Create New Account","Buat Akun Baru"
"Sign Up for Newsletter","Sign Up untuk Newsletter"
"Address Information","Informasi Alamat"
"Company","Perusahaan"
"Phone Number","Nomor Telepon"
"Street Address","Alamat jalan"
"Address","Alamat"
"Street Address %1","Alamat Jalan %1"
"City","Kota"
"State/Province","Negara/Provinsi"
"Please select a region, state or province.","Silahkan pilih wilayah, negara bagian atau provinsi."
"Zip/Postal Code","Kode pos"
"Country","Negara"
"Confirm Password","Konfirmasi Kata Sandi"
"Create an Account","Membuat sebuah Akun"
"Back","Kembali"
"Forgot Password","Lupa Kata sandi"
"Please enter your email address below to receive a password reset link.","Silahkan masukkan alamat surel anda untuk menerima tautan atur ulang kata sandi."
"Submit","Mengajukan"
"Go back","Kembali"
"Social Login","Masuk Sosial"
"General","Umum"
"Enable","Mengaktifkan"
"Send Password To Customer","Kirim Password Ke Pelanggan"
"Show Social Login Buttons on","Acara Sosial Login Tombol pada"
"Use Popup Login","Menggunakan Popup Login"
"Popup Effect","Popup Efek"
"Style Management","Gaya Manajemen"
"Custom Color","Warna Kustom"
"Custom CSS","Kostum CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://developers.facebook.com/apps"" target=""_bank""> di sini</a>"
"Facebook App Id","Id aplikasi facebook"
"Facebook App Secret","Rahasia aplikasi facebook"
"Valid OAuth redirect URIs","Berlaku OAuth mengarahkan Uri"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Pelajari selanjutnya <a href=""https://code.google.com/apis/console/"" target=""_bank"">disini</a>"
"Client ID","ID Klien"
"Client Secret","Rahasia Klien"
"REDIRECT URIS","Mengarahkan uri"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Pelajari selanjutnya <a href=""https://dev.twitter.com/apps"" target=""_bank"">disini</a>"
"Consumer Key","Kunci Konsumen"
"Consumer Secret","Rahasia Konsumen"
"LinkedIn","Google+"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""> di sini</a>"
"Id Client","Id Pelanggan"
"Secret Client","Rahasia Klien"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Buat aplikasi <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">di sini</a>"
"Foursquare","Foursquare"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://www.foursquare.com/oauth/"" target=""_bank""> di sini</a>"
"Callback Url","Panggilan kembali url"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Buat aplikasi <a href=""https://new.vk.com/dev"" target=""_bank"">di sini</a>"
"Application ID","ID Aplikasi"
"Secure Key","Kunci Aman"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://github.com/settings/applications/new"" target=""_bank""> di sini</a>"
