"New User","Nieuwe gebruiker"
"Email is Null, Please enter email in your %1 profile","E-mail is null, geef e-mailadres op in uw %1 -profiel"
"Incorrect CAPTCHA.","Onjuiste captcha."
"Data error. Please try again.","Gegevensfout. Probeer het opnieuw."
"Please make sure your passwords match.","Zorg er alstublieft voor dat uw wachtwoorden overeenkomen."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","U moet uw account bevestigen. Controleer alstublieft uw e-mail voor de bevestigingslink of <a href=""%1"">klik hier</a> voor een nieuwe link."
"Create an account successfully. Please wait...","Maak een account succesvol aan. Even geduld aub..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account bij dit e-mailadres. Als u zeker weet dat dit uw e-mailadres is, <a href=""%1"">klik hier</a> om uw wachtwoord te verkrijgen en toegang tot uw account te krijgen."
"We can't save the customer.","We kunnen de klant niet redden."
"Please correct the email address.","Corrigeer het e-mailadres."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account is gekoppeld aan %1 , ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"We're unable to send the password reset email.","We kunnen de e-mail voor het opnieuw instellen van het wachtwoord niet verzenden."
"Ooophs, we got an error: %1","Ooophs, we hebben een foutmelding: %1"
"Default","Standaard"
"Orange","Oranje"
"Green","Groen"
"Black","Zwart"
"Blue","Blauw"
"Dark Blue","Donkerblauw"
"Pink","Roze"
"Red","Rood"
"Violet","paars"
"Custom","gewoonte"
"Zoom","Zoom"
"Newspaper","Krant"
"Horizontal move","Horizontale beweging"
"Move from top","Verplaats van boven"
"3D unfold","3D ontvouwen"
"Zoom-out","Uitzoomen"
"-- Please Select --","-- Selecteer alstublieft --"
"Customer Login Page","Loginpagina voor klanten"
"Customer Create Page","Klantpagina maken"
"Social Popup Login","Social Popup Login"
"Login By %1","Inloggen door %1"
"Sign in with %1","Log in met %1"
"Sign In","Aanmelden"
"Registered Customers","geregistreerde klanten"
"* Required Fields","* Verplichte velden"
"Email","E-mail"
"Password","Wachtwoord"
"Login","Log in"
"Forgot Your Password?","Je wachtwoord vergeten?"
"Create New Account?","Creëer een nieuw account?"
"Or Sign In With","Of log in met"
"Create New Account","Creëer een nieuw account"
"Sign Up for Newsletter","Aanmelden voor Nieuwsbrief"
"Address Information","adres informatie"
"Company","Bedrijf"
"Phone Number","Telefoonnummer"
"Street Address","Adres"
"Address","Adres"
"Street Address %1","Straat Adres %1"
"City","stad"
"State/Province","Staat / Provincie"
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
"Zip/Postal Code","Postcode / Postcode"
"Country","land"
"Confirm Password","bevestig wachtwoord"
"Create an Account","Account aanmaken"
"Back","Terug"
"Forgot Password","Wachtwoord vergeten"
"Please enter your email address below to receive a password reset link.","Voer hieronder uw e-mailadres in om een ​​link voor het opnieuw instellen van uw wachtwoord te ontvangen."
"Submit","voorleggen"
"Go back","Ga terug"
"Social Login","Sociale login"
"General","Algemeen"
"Enable","in staat stellen"
"Send Password To Customer","Stuur wachtwoord naar klant"
"Show Social Login Buttons on","Laat sociale login-knoppen zien"
"Use Popup Login","Gebruik Popup Login"
"Popup Effect","Pop-up effect"
"Style Management","Stijlmanagement"
"Custom Color","Aangepaste kleur"
"Custom CSS","Aangepaste CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Maak hier <a href=""https://developers.facebook.com/apps"" target=""_bank"">app</a>"
"Facebook App Id","Facebook-app-ID"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Geldige OAuth-omleidings-URI's"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Maak hier <a href=""https://code.google.com/apis/console/"" target=""_bank"">app</a>"
"Client ID","klant identificatie"
"Client Secret","Client Secret"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","tjilpen"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Maak hier <a href=""https://dev.twitter.com/apps"" target=""_bank"">app</a>"
"Consumer Key","Gebruikers sleutel"
"Consumer Secret","Consumentengeheim"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Maak hier <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">app</a>"
"Id Client","Id-client"
"Secret Client","Geheime klant"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Maak hier <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">app</a>"
"Foursquare","Vierkant"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Maak hier <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">app</a>"
"Callback Url","Callback-URL"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Maak hier <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">app</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Maak hier <a href=""https://new.vk.com/dev"" target=""_bank"">app</a>"
"Application ID","Applicatie ID"
"Secure Key","Beveiligde sleutel"
"Github","Github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Maak hier <a href=""https://github.com/settings/applications/new"" target=""_bank"">app</a>"
