"New User","Utilizator nou"
"Email is Null, Please enter email in your %1 profile","Emailul este nul, vă rugăm să introduceți e-mail în profilul dvs. %1"
"Incorrect CAPTCHA.","Captcha incorect."
"Data error. Please try again.","Eroare de date. Vă rugăm să încercați din nou."
"Please make sure your passwords match.","Asigurați-vă că parolele se potrivesc."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Trebuie să vă confirmați contul. Verificați adresa de e-mail pentru link-ul de confirmare sau <a href=""%1"">faceți clic aici</a> pentru un link nou."
"Create an account successfully. Please wait...","Creați un cont cu succes. Te rog asteapta..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Există deja un cont cu această adresă de e-mail. Dacă sunteți sigur (ă) că este adresa dvs. de e-mail, <a href=""%1"">faceți clic aici</a> pentru a obține parola și pentru a vă accesa contul."
"We can't save the customer.","Nu putem salva clientul."
"Please correct the email address.","Corectați adresa de e-mail."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Dacă există un cont asociat cu %1 , veți primi un e-mail cu un link pentru resetarea parolei."
"We're unable to send the password reset email.","Nu putem trimite e-mailul pentru resetarea parolei."
"Ooophs, we got an error: %1","Ooophs, am avut o eroare: %1"
"Default","Mod implicit"
"Orange","Portocale"
"Green","Verde"
"Black","Negru"
"Blue","Albastru"
"Dark Blue","Albastru inchis"
"Pink","Roz"
"Red","roșu"
"Violet","violet"
"Custom","Personalizat"
"Zoom","Zoom"
"Newspaper","Ziar"
"Horizontal move","Mișcare orizontală"
"Move from top","Deplasați-vă de sus"
"3D unfold","Desfășurați 3D"
"Zoom-out","A micsora"
"-- Please Select --","-- Te rog selecteaza --"
"Customer Login Page","Pagina de conectare pentru clienți"
"Customer Create Page","Client Crearea paginii"
"Social Popup Login","Social Popup Login"
"Login By %1","Conectare prin %1"
"Sign in with %1","Conectați-vă cu %1"
"Sign In","Conectare"
"Registered Customers","Clienții înregistrați"
"* Required Fields","* Câmpuri obligatorii"
"Email","E-mail"
"Password","Parola"
"Login","Logare"
"Forgot Your Password?","Ti-ai uitat parola?"
"Create New Account?","Creează un cont nou?"
"Or Sign In With","Sau conectați-vă cu"
"Create New Account","Creează un cont nou"
"Sign Up for Newsletter","Înscrieți-vă pentru Newsletter"
"Address Information","infornații despre adresă"
"Company","Companie"
"Phone Number","Numar de telefon"
"Street Address","Adresa străzii"
"Address","Adresa"
"Street Address %1","Adresă stradală %1"
"City","Oraș"
"State/Province","Stat / Provincie"
"Please select a region, state or province.","Selectați o regiune, stat sau provincie."
"Zip/Postal Code","Zip / Cod Poştal"
"Country","Țară"
"Confirm Password","confirma parola"
"Create an Account","Creează un cont"
"Back","Înapoi"
"Forgot Password","Aţi uitat parola"
"Please enter your email address below to receive a password reset link.","Introduceți adresa dvs. de e-mail de mai jos pentru a primi un link de resetare a parolei."
"Submit","A depune"
"Go back","Întoarce-te"
"Social Login","Conectare socială"
"General","General"
"Enable","Permite"
"Send Password To Customer","Trimiteți parola clientului"
"Show Social Login Buttons on","Afișați butoanele de conectare socială pe"
"Use Popup Login","Utilizați Conectare popup"
"Popup Effect","Efectul popup"
"Style Management","Managementul stilului"
"Custom Color","Culoare particularizată"
"Custom CSS","CSS personalizat"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Creați aplicația <a href=""https://developers.facebook.com/apps"" target=""_bank"">aici</a>"
"Facebook App Id","Codul aplicației Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Valabil URI-uri de redirecționare OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Creați aplicația <a href=""https://code.google.com/apis/console/"" target=""_bank"">aici</a>"
"Client ID","ID-ul clientului"
"Client Secret","Secretul clientului"
"REDIRECT URIS","REDIRECT URIS"
"Twitter","Stare de nervozitate"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Creați aplicația <a href=""https://dev.twitter.com/apps"" target=""_bank"">aici</a>"
"Consumer Key","Cheia de consum"
"Consumer Secret","Secretul consumatorilor"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Creați aplicația <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aici</a>"
"Id Client","Id Client"
"Secret Client","Client secret"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Creați aplicația <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aici</a>"
"Foursquare","pătrat"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Creați aplicația <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aici</a>"
"Callback Url","Callback url"
"Instagram","Instagram"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Creați aplicația <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aici</a>"
"Vkontakte","Vkontakte"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Creați aplicația <a href=""https://new.vk.com/dev"" target=""_bank"">aici</a>"
"Application ID","ID-ul aplicației"
"Secure Key","Cheie securizată"
"Github","github"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Creați aplicația <a href=""https://github.com/settings/applications/new"" target=""_bank"">aici</a>"
