"New User","Нови корисник"
"Email is Null, Please enter email in your %1 profile","Е-маил је Нулл, молимо унесите е-пошту на свој профил %1"
"Incorrect CAPTCHA.","Неправилна ЦАПТЦХА."
"Data error. Please try again.","Грешка података. Молим вас, покушајте поново."
"Please make sure your passwords match.","Проверите да ли се ваше лозинке подударају."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Морате потврдити свој рачун. Проверите свој е-маил за линк за потврду или <a href=""%1"">кликните овде</a> за нову везу."
"Create an account successfully. Please wait...","Креирајте налог успешно. Сачекајте..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Већ постоји налог са овом емаил адресом. Ако сте сигурни да је ваша е-адреса, <a href=""%1"">кликните овде</a> да бисте добили своју лозинку и приступали вашем налогу."
"We can't save the customer.","Не можемо спасити купца."
"Please correct the email address.","Исправите адресу е-поште."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ако постоји налог повезан са %1 , добићете е-пошту са везом за ресетовање ваше лозинке."
"We're unable to send the password reset email.","Не можемо послати е-пошту за ресет лозинке."
"Ooophs, we got an error: %1","Ооопхс, имамо грешку: %1"
"Default","Уобичајено"
"Orange","Наранџаста"
"Green","Зелен"
"Black","Црн"
"Blue","Плави"
"Dark Blue","Тамно плава"
"Pink","Пинк"
"Red","Црвена"
"Violet","Виолет"
"Custom","Обичај"
"Zoom","Зоом"
"Newspaper","Новине"
"Horizontal move","Хоризонтални потез"
"Move from top","Померите се са врха"
"3D unfold","3Д се развија"
"Zoom-out","Зоом оут"
"-- Please Select --","-- Молимо изаберите --"
"Customer Login Page","Корисничка пријава страница"
"Customer Create Page","Клијент креира страницу"
"Social Popup Login","Социјални Попуп Логин"
"Login By %1","Пријавите се %1"
"Sign in with %1","Пријавите се помоћу %1"
"Sign In","Пријавите се"
"Registered Customers","Регистровани корисници"
"* Required Fields","* Захтевана поља"
"Email","Емаил"
"Password","Лозинка"
"Login","Пријавите се"
"Forgot Your Password?","Заборавили сте лозинку?"
"Create New Account?","Направите нови налог?"
"Or Sign In With","Или се пријавите"
"Create New Account","Направите нови налог"
"Sign Up for Newsletter","Пријави се за новости"
"Address Information","Информације о адреси"
"Company","Компанија"
"Phone Number","Број телефона"
"Street Address","Улица и број"
"Address","Адреса"
"Street Address %1","Адреса улице %1"
"City","Град"
"State/Province","Стате / Провинце"
"Please select a region, state or province.","Изаберите област, државу или покрајину."
"Zip/Postal Code","Зип / поштански код"
"Country","Земља"
"Confirm Password","Потврди лозинку"
"Create an Account","Направи налог"
"Back","Назад"
"Forgot Password","Заборавили сте лозинку"
"Please enter your email address below to receive a password reset link.","Молимо унесите своју е-маил адресу испод како бисте добили линк за ресет лозинке."
"Submit","прихвати"
"Go back","Вратити се"
"Social Login","Социјална пријава"
"General","Генерал"
"Enable","Омогући"
"Send Password To Customer","Пошаљите лозинку клијенту"
"Show Social Login Buttons on","Покажи дугмад за друштвене пријаве на"
"Use Popup Login","Користите Попуп Логин"
"Popup Effect","Попуп ефекат"
"Style Management","Стиле Манагемент"
"Custom Color","Цустом Цолор"
"Custom CSS","Цустом ЦСС"
"Facebook","Фацебоок"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Направите апликацију <a href=""https://developers.facebook.com/apps"" target=""_bank"">овде</a>"
"Facebook App Id","Апликација Фацебоок Апп"
"Facebook App Secret","Фацебоок Апп Сецрет"
"Valid OAuth redirect URIs","Важећи УРИ-ови преусмеравања ОАутх-а"
"Google","Гоогле"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Направите апликацију <a href=""https://code.google.com/apis/console/"" target=""_bank"">овде</a>"
"Client ID","ИД клијента"
"Client Secret","Цлиент Сецрет"
"REDIRECT URIS","РЕДИРЕЦТ УРИС"
"Twitter","Твиттер"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Направите апликацију <a href=""https://dev.twitter.com/apps"" target=""_bank"">овде</a>"
"Consumer Key","Потрошачки кључ"
"Consumer Secret","Потрошачка тајна"
"LinkedIn","ЛинкедИн"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Направите апликацију <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">овде</a>"
"Id Client","Ид клијент"
"Secret Client","Тајни клијент"
"Yahoo","Иахоо"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Направите апликацију <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">овде</a>"
"Foursquare","Фоурскуаре"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Направите апликацију <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">овде</a>"
"Callback Url","Цаллбацк Урл"
"Vkontakte","Вконтакте"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Направите апликацију <a href=""https://new.vk.com/dev"" target=""_bank"">овде</a>"
"Application ID","ИД апликације"
"Secure Key","Сецуре Кеи"
"Github","Гитхуб"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Направите апликацију <a href=""https://github.com/settings/applications/new"" target=""_bank"">овде</a>"
