"New User","Новий користувач"
"Email is Null, Please enter email in your %1 profile","Електронна пошта Null, будь ласка, введіть електронний лист у вашому профілі %1"
"Incorrect CAPTCHA.","Неправильна CAPTCHA."
"Data error. Please try again.","Помилка даних. Будь ласка спробуйте ще раз."
"Please make sure your passwords match.","Переконайтеся, що ваші паролі відповідають."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Ви повинні підтвердити свій акаунт. Будь ласка, перевірте свою електронну пошту за посиланням підтвердження або <a href=""%1"">натисніть тут</a> для нового посилання."
"Create an account successfully. Please wait...","Створіть обліковий запис успішно. Будь ласка, зачекайте ..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Існує вже обліковий запис із цією електронною адресою. Якщо ви впевнені, що це ваша електронна адреса, <a href=""%1"">натисніть тут</a> , щоб отримати свій пароль і отримати доступ до свого облікового запису."
"We can't save the customer.","Ми не можемо зберегти замовника."
"Please correct the email address.","Будь ласка, виправте електронну адресу."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Якщо є акаунт, пов'язаний з %1 , ви отримаєте електронне повідомлення з посиланням для скидання пароля."
"We're unable to send the password reset email.","Ми не можемо надіслати електронний лист для зміни пароля."
"Ooophs, we got an error: %1","Ooophs, у нас виникла помилка: %1"
"Default","За замовчуванням"
"Orange","Апельсин"
"Green","Зелений"
"Black","Чорний"
"Blue","Синій"
"Dark Blue","Темно-синій"
"Pink","Рожевий"
"Red","Червоний"
"Violet","Фіолетовий"
"Custom","Користувальницький"
"Zoom","Збільшити"
"Newspaper","Газета"
"Horizontal move","Горизонтальний хід"
"Move from top","Перемістити з вершини"
"3D unfold","3D розгорнутися"
"Zoom-out","Зменшення"
"-- Please Select --","-- Виберіть будь ласка --"
"Customer Login Page","Сторінка входу клієнта"
"Customer Create Page","Створити сторінку клієнта"
"Social Popup Login","Соціальний вхід до спливаючих вікон"
"Login By %1","Вхід до %1"
"Sign in with %1","Увійдіть, використовуючи %1"
"Sign In","Увійти"
"Registered Customers","Зареєстровані клієнти"
"* Required Fields","* Обов'язкові поля"
"Email","Електронна пошта"
"Password","Пароль"
"Login","Увійти"
"Forgot Your Password?","Забули свій пароль?"
"Create New Account?","Створити новий обліковий запис?"
"Or Sign In With","Або ввійдіть в систему"
"Create New Account","Створити новий обліковий запис"
"Sign Up for Newsletter","Підписатися на новини"
"Address Information","Інформація про адресу"
"Company","Компанія"
"Phone Number","Номер телефону"
"Street Address","Адреса вулиці"
"Address","Адреса"
"Street Address %1","Вулиця %1"
"City","Місто"
"State/Province","Штат / провінція"
"Please select a region, state or province.","Будь ласка, виберіть регіон, штат або провінцію."
"Zip/Postal Code","Поштовий індекс"
"Country","Країна"
"Confirm Password","Підтвердити пароль"
"Create an Account","Створити аккаунт"
"Back","Назад"
"Forgot Password","Забули пароль"
"Please enter your email address below to receive a password reset link.","Будь-ласка, введіть свою адресу електронної пошти нижче, щоб отримати посилання для зміни пароля."
"Submit","Відправити"
"Go back","Повертайся"
"Social Login","Соціальний вхід"
"General","Генерал"
"Enable","Увімкнути"
"Send Password To Customer","Надіслати пароль для клієнта"
"Show Social Login Buttons on","Показати кнопки входу до соціальних мереж"
"Use Popup Login","Використовуйте вхід до спливаючих вікон"
"Popup Effect","Ефект спливаючих вікон"
"Style Management","Стиль управління"
"Custom Color","Користувацький колір"
"Custom CSS","Користувацький CSS"
"Facebook","Facebook"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Створіть додаток <a href=""https://developers.facebook.com/apps"" target=""_bank"">тут:</a>"
"Facebook App Id","Ідентифікатор програми Facebook"
"Facebook App Secret","Facebook таємниця програми"
"Valid OAuth redirect URIs","Дійсні URI перенаправлення OAuth"
"Google","Google"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Створіть додаток <a href=""https://code.google.com/apis/console/"" target=""_bank"">тут:</a>"
"Client ID","Ідентифікатор клієнта"
"Client Secret","Клієнтська таємниця"
"REDIRECT URIS","ПЕРЕГЛЯД УРІС"
"Twitter","Twitter"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Створіть додаток <a href=""https://dev.twitter.com/apps"" target=""_bank"">тут:</a>"
"Consumer Key","Споживчий ключ"
"Consumer Secret","Споживчий секрет"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Створіть додаток <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">тут:</a>"
"Id Client","Ідентичний Клієнт"
"Secret Client","Секретний клієнт"
"Yahoo","Yahoo"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Створіть додаток <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">тут:</a>"
"Foursquare","Квадрат"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Створіть додаток <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">тут:</a>"
"Callback Url","URL-адреса зворотного дзвінка"
"Vkontakte","Вконтакте"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Створіть додаток <a href=""https://new.vk.com/dev"" target=""_bank"">тут:</a>"
"Application ID","Ідентифікатор програми"
"Secure Key","Безпечний ключ"
"Github","Гітуб"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Створіть додаток <a href=""https://github.com/settings/applications/new"" target=""_bank"">тут:</a>"
