"New User","新用户"
"Email is Null, Please enter email in your %1 profile","电子邮件为空，请在您的 %1 个人资料中输入电子邮件地址"
"Incorrect CAPTCHA.","验证码不正确。"
"Data error. Please try again.","数据错误。请再试一次。"
"Please make sure your passwords match.","请确保您的密码匹配。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","您必须确认您的帐户。请检查您的电子邮件确认链接或 <a href=""%1"">点击此处</a> 获取新链接。"
"Create an account successfully. Please wait...","成功创建一个帐户。请稍候..."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","我们无法挽救客户。"
"Please correct the email address.","请更正电子邮件地址。"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","如果有与 %1 相关的帐户，您将收到一封电子邮件，其中包含一个链接以重置您的密码。"
"We're unable to send the password reset email.","我们无法发送密码重置电子邮件。"
"Ooophs, we got an error: %1","Ooophs，我们得到一个错误： %1"
"Default","默认"
"Orange","橙子"
"Green","绿色"
"Black","黑色"
"Blue","蓝色"
"Dark Blue","深蓝"
"Pink","粉"
"Red","红"
"Violet","紫色"
"Custom","习惯"
"Zoom","放大"
"Newspaper","报纸"
"Horizontal move","水平移动"
"Move from top","从顶部移动"
"3D unfold","3D展开"
"Zoom-out","缩小"
"-- Please Select --","-  请选择  -"
"Customer Login Page","客户登录页面"
"Customer Create Page","客户创建页面"
"Social Popup Login","社交弹出登录"
"Login By %1","登录由 %1"
"Sign in with %1","用 %1登录"
"Sign In","签到"
"Registered Customers","注册客户"
"* Required Fields","*必填字段"
"Email","电子邮件"
"Password","密码"
"Login","登录"
"Forgot Your Password?","忘记密码了吗？"
"Create New Account?","建立新帐户？"
"Or Sign In With","或登录与"
"Create New Account","建立新帐户"
"Sign Up for Newsletter","注册通讯"
"Address Information","地址信息"
"Company","公司"
"Phone Number","电话号码"
"Street Address","街道地址"
"Address","地址"
"Street Address %1","街道地址 %1"
"City","市"
"State/Province","州/省"
"Please select a region, state or province.","请选择一个地区，州或省。"
"Zip/Postal Code","邮编/邮政编码"
"Country","国家"
"Confirm Password","确认密码"
"Create an Account","创建一个帐户"
"Back","背部"
"Forgot Password","忘记密码"
"Please enter your email address below to receive a password reset link.","请在下面输入您的电子邮件地址以获取密码重置链接。"
"Submit","提交"
"Go back","回去"
"Social Login","社交登录"
"General","一般"
"Enable","启用"
"Send Password To Customer","发送密码给客户"
"Show Social Login Buttons on","显示社交登录按钮"
"Use Popup Login","使用弹出式登录"
"Popup Effect","弹出式效果"
"Style Management","风格管理"
"Custom Color","自定义颜色"
"Custom CSS","自定义CSS"
"Facebook","Facebook的"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://developers.facebook.com/apps"" target=""_bank""></a>"
"Facebook App Id","Facebook应用程序ID"
"Facebook App Secret","Facebook应用程序秘密"
"Valid OAuth redirect URIs","有效的OAuth重定向URI"
"Google","谷歌"
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://code.google.com/apis/console/"" target=""_bank""></a>"
"Client ID","客户端ID"
"Client Secret","客户秘密"
"REDIRECT URIS","重新选择URIS"
"Twitter","推特"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://dev.twitter.com/apps"" target=""_bank""></a>"
"Consumer Key","消费者钥匙"
"Consumer Secret","消费者秘密"
"LinkedIn","LinkedIn"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""></a>"
"Id Client","Id客户端"
"Secret Client","秘密客户"
"Yahoo","雅虎"
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://developer.yahoo.com/apps/"" target=""_bank""></a>"
"Foursquare","四方"
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://www.foursquare.com/oauth/"" target=""_bank""></a>"
"Callback Url","回拨网址"
"Instagram","Instagram的"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank""></a>"
"Vkontakte","VKontakte等"
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://new.vk.com/dev"" target=""_bank""></a>"
"Application ID","应用程序ID"
"Secure Key","安全密钥"
"Github","Github上"
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://github.com/settings/applications/new"" target=""_bank""></a>"
